OBJECTID,Shape_Leng,Latitude,Longitude,Projection_y_coordinate,Projection_x_coordinate,tas_annual_baseline_81_00_media,tas_annual_01_20_median,tas_annual_change_01_20_median,tas_annual_change_15_median,tas_annual_change_20_median,tas_annual_change_25_median,tas_annual_change_30_median,tas_annual_change_40_median,tas_annual_baseline_81_00_upper,tas_annual_01_20_upper,tas_annual_change_01_20_upper,tas_annual_change_15_upper,tas_annual_change_20_upper,tas_annual_change_25_upper,tas_annual_change_30_upper,tas_annual_change_40_upper,tas_annual_baseline_81_00_lower,tas_annual_01_20_lower,tas_annual_change_01_20_lower,tas_annual_change_15_lower,tas_annual_change_20_lower,tas_annual_change_25_lower,tas_annual_change_30_lower,tas_annual_change_40_lower,SHAPE_Length,SHAPE_Area,,Comments,
55,48000,50.60073342,-2.48177372,78000,366000,10.96621419,11.71748155,0.751267361,1.062994585,1.667095269,2.086605799,2.535799283,3.410712477,10.9689822,11.98592448,1.016942274,1.439435454,1.963267712,2.23089079,2.824788411,3.835440693,10.96258898,11.64540365,0.68281467,0.962526455,1.397202071,2.0341213,2.361544002,3.161779307,48000,-144000000,,,
56,48000,50.60131165,-2.31221754,78000,378000,10.30366862,11.05939833,0.755729709,1.069431346,1.676725286,2.091394082,2.543592432,3.4175673,10.30719618,11.32682509,1.019628906,1.43999442,1.963514592,2.226776,2.834417266,3.850558966,10.29871094,10.98982639,0.691115451,0.968170883,1.38755322,2.030287388,2.367614087,3.179260293,48000,-144000000,,,
57,48000,50.60164256,-2.1426567,78000,390000,10.40084527,11.156014,0.755168728,1.075934684,1.681045309,2.095694651,2.541408058,3.41521983,10.40417426,11.43240234,1.028228082,1.430071718,1.956446914,2.217798807,2.85127506,3.86630787,10.39714193,11.0937576,0.696615668,0.980876374,1.384055215,2.029160001,2.361528398,3.190925151,48000,-144000000,,,
58,48000,50.60172675,-1.97309411,78000,402000,10.54344781,11.28274468,0.739296875,1.073562154,1.667370257,2.087411489,2.509665153,3.387005363,10.54654514,11.57000217,1.023457031,1.402044839,1.934009952,2.184879816,2.820609912,3.838678437,10.54078125,11.22511502,0.684333767,0.972285053,1.37921968,2.020742704,2.326364862,3.170119926,48000,-144000000,,,
59,48000,50.60050059,-1.46441886,78000,438000,10.73183051,11.4901378,0.758307292,1.069307726,1.690485439,2.097656043,2.533341394,3.405997282,10.73729167,11.75735677,1.020065104,1.407223204,1.943445922,2.212040654,2.849275019,3.894126777,10.72922092,11.42017578,0.690954861,0.985379774,1.405330481,2.044904617,2.369945385,3.208123863,48000,-144000000,,,
60,48000,50.59959782,-1.29487276,78000,450000,10.57016168,11.32846897,0.758307292,1.069307416,1.690485672,2.097655733,2.533340567,3.405997515,10.57562283,11.59568793,1.020065104,1.407222842,1.943445561,2.212041429,2.849274709,3.894126467,10.567551,11.25850694,0.690955946,0.985379464,1.405329138,2.044904307,2.369945023,3.208123553,48000,-144000000,,,
61,48000,50.5984489,-1.12533459,78000,462000,10.60481825,11.36312554,0.758307292,1.069306899,1.690485155,2.097655733,2.533340567,3.405996998,10.61027995,11.63034505,1.020065104,1.407223927,1.943446646,2.212041429,2.849274709,3.894126467,10.60220812,11.29316406,0.690955946,0.985379516,1.405329138,2.044905392,2.369945075,3.208124638,48000,-144000000,,,
62,48000,50.67857959,-4.69070132,90000,210000,9.910463325,10.61933702,0.708873698,0.966450324,1.48482719,1.921044509,2.326532247,3.144088154,9.91399197,10.85972548,0.945733507,1.316940673,1.784219783,2.027395213,2.544486194,3.570467768,9.909276259,10.50475043,0.595474175,0.855588418,1.343123295,1.825609034,2.159041367,2.828557323,48000,-144000000,,,
63,48000,50.68237502,-4.52102921,90000,222000,9.791071506,10.50068142,0.709609918,0.970043222,1.494745603,1.941012215,2.350401166,3.18119027,9.793307292,10.73671224,0.943404948,1.339463046,1.830722553,2.074813213,2.567216745,3.600699818,9.788037109,10.38834418,0.600307075,0.861163453,1.349996073,1.850183842,2.178810764,2.872989935,48000,-144000000,,,
64,48000,50.68592371,-4.35132143,90000,234000,10.15655979,10.87472385,0.718164063,0.995015578,1.528264741,1.967056904,2.390233264,3.236787394,10.15888021,11.10621528,0.947335069,1.368704737,1.863043775,2.131089823,2.611605903,3.666355407,10.15368924,10.77057509,0.616885851,0.8833818,1.369561529,1.905625827,2.22000062,2.939468626,48000,-144000000,,,
